;country;crop;crop_id;type;Scarecity;activity;pb;r.squared;zero_counter
1;AT;R2000;Sugar beet;floods;1;AT_p023;0.000285079258033204;0.62077179544199;0.0882352941176471
2;DE;R2000;Sugar beet;floods;0.9;DE_p023;0.000921101495933391;0.645543728483764;0.0882352941176471
3;DE;R2000;Sugar beet;floods;0.9;DE_p099;0.00238185781506437;0.610923870126786;0.0294117647058824
4;DE;G3000;Green maize;floods;0.9;DE_p096;0.000446442615623191;0.698427533592532;0.0588235294117647
5;DE;G3000;Green maize;floods;0.9;DE_p110;0.00020967876256892;0.720262407344176;0.0294117647058824
6;ES;C1100;C1100 Wheat & spelt;floods;0.5;ES_p070;0.00132631736353246;0.600579969900181;0.0882352941176471
7;ES;I1120;Sunflower;floods;0.9;ES_p070;0.000925245778540104;0.613675400324588;0.0882352941176471
8;FR;C1100;C1100 Wheat & spelt;floods;0.5;FR_p075;0.00829697650662687;0.652532243303952;0.117647058823529
9;FR;C1100;C1100 Wheat & spelt;floods;0.5;FR_p110;0.00682892008456315;0.660621694326774;0.0588235294117647
10;FR;R1000;Potatoes;floods;1;FR_p019;0.00582782579787359;0.667017420690444;0.0294117647058824
11;FR;R1000;Potatoes;floods;1;FR_p075;0.00632770720906559;0.663717927405571;0.117647058823529
12;FR;I1120;Sunflower;floods;1;FR_p099;0.00842048710658595;0.651907520343314;0.0294117647058824
13;FR;I1130;Soya;floods;0.7;FR_p006;0.00881904068749687;0.619763350275893;0.0294117647058824
14;FR;I1130;Soya;floods;0.7;FR_p031;0.00965268502476884;0.615760949142508;0.0294117647058824
15;FR;I3000;Tobacco;floods;1;FR_p040;0.00361388239109536;0.6563786010413;0.0294117647058824
16;FR;G3000;Green maize;floods;1;FR_p110;0.0051666379383082;0.671766979952889;0.0588235294117647
17;HU;R2000;Sugar beet;floods;0.6;HU_p062;0.000155776851954996;0.639860424309736;0.0294117647058824
18;IT;C1100;C1100 Wheat & spelt;floods;0.5;IT_p079;0.000773875734838314;0.651465345805562;0.0294117647058824
19;IT;C1100;C1100 Wheat & spelt;floods;0.5;IT_p081;0.000720001148376022;0.653883083126586;0.0294117647058824
20;IT;C1100;C1100 Wheat & spelt;floods;0.5;IT_p089;0.000775426528035027;0.651397973991069;0.0294117647058824
21;IT;R2000;Sugar beet;floods;0.8;IT_p089;0.000339894611018794;0.677861160010454;0.0294117647058824
22;IT;I1120;Sunflower;floods;0.9;IT_p016;0.00115288010337461;0.637727073935666;0.0294117647058824
23;IT;I1120;Sunflower;floods;0.9;IT_p081;0.00156072676168658;0.626833328200908;0.0294117647058824
24;IT;I1120;Sunflower;floods;0.9;IT_p089;0.000374260400890316;0.674899123701522;0.0294117647058824
25;IT;G3000;Green maize;floods;0.8;IT_p016;0.000358661312915205;0.676212395879651;0.0294117647058824
26;IT;G3000;Green maize;floods;0.8;IT_p089;0.00230516630857485;0.612186335431457;0.0294117647058824
27;PL;R2000;Sugar beet;floods;0.5;PL_p024;0.00182113008953625;0.652003092634202;0.0294117647058824
28;RO;C1500;Maize;floods;0.5;RO_p115;0.000100467353994512;0.619794624030707;0.0294117647058824
